date,open,close,high,low
2019-03-28,4922.2,4978.0,5335.5,4842.2
2019-04-04,5217.1,5310.1,5488.0,5193.5
2019-04-11,5234.4,5254.5,5300.0,5206.8
2019-04-18,5547.0,5479.6,5690.0,5407.1
2019-04-25,5599.52273017,5629.5,5655.0,5577.5
2019-05-02,6103.8,6201.5,6230.0,6007.8
2019-05-09,7951.9,8136.6341756,8209.0,7832.45175911
2019-05-16,7931.71147491,7620.0,8039.9,7500.0
2019-05-23,8738.1,8678.0,8796.5,8455.0
2019-05-30,7692.9,7789.3,7936.5,7593.9
2019-06-06,7905.4,8174.0,8250.0,7821.0
2019-06-13,9094.4,9305.9,9340.0,9062.0
2019-06-20,11737.0,12876.0,13764.0,11684.45046273
2019-06-27,10884.0,11982.0,12025.0,10876.0
2019-07-04,12564.0,12093.0,13174.0,11529.0
2019-07-11,9420.0,9682.6,9975.0,9084.7
2019-07-18,9859.0,9768.96811218,9922.55144967,9534.05177698
2019-07-25,9588.9,10088.0,10120.0,9575.49379853
2019-08-01,11471.20065,11999.0,12153.0,11385.0
2019-08-08,10906.0,10064.558229,10909.0,9966.0
2019-08-15,10793.0,10146.95441589,10825.0,9824.0
2019-08-22,10189.0,9727.4,10370.0,9570.0
2019-08-29,10641.04817556,10590.0,10849.0,10410.0
2019-09-05,10121.75849382,10175.0,10300.0,9814.0
2019-09-12,10216.0,10185.0,10278.0,10111.0
2019-09-19,8536.98431152,8475.3,8773.6,8262.0
2019-09-26,8333.67958178,8414.8772103,8420.0,8193.0
2019-10-03,8205.0,8607.5,8719.2,8146.55980111
2019-10-10,8191.1,8016.0,8204.3,7960.0
2019-10-17,8054.0,7493.7,8074.5,7333.4
2019-10-24,9446.9,9184.3,9446.9,9035.0
2019-10-31,9337.19572,9352.8,9475.0,9278.0
2019-11-07,8830.0,8801.1,8849.9,8730.3
2019-11-14,8164.9,8126.4,8257.8,8081.0
2019-11-21,7198.6,7549.3,7689.0,6878.2
2019-11-28,7336.0,7238.3,7890.0,7129.0
2019-12-05,7254.6,7230.72229344,7312.0,7169.0
2019-12-12,6667.0681032,7326.2,7482.2,6477.0
2019-12-19,7276.9,7220.1,7294.2,7113.2
2019-12-26,7208.2,7212.7,7285.1,7185.4
2020-01-02,8158.3,8036.8,8442.0,7877.6
2020-01-09,8771.0,8807.7,8873.0,8560.1
2020-01-16,8734.2,8663.9,8799.9,8580.5
2020-01-23,9393.67551447,9300.3,9442.3,9242.2
2020-01-30,9197.4,9612.0,9731.9,9180.2023255
2020-02-06,10247.0,10338.0,10460.0,10238.0
2020-02-13,10184.0,9592.3,10310.0,9290.0
2020-02-20,9327.4,8813.2,9385.9,8652.7
2020-02-27,8792.3,8788.6,8877.7,8718.4
2020-03-05,7917.9301252,7969.6,8034.6,7634.8
2020-03-12,5339.1,5416.2,5487.96366832,5033.0
2020-03-19,6762.1,6688.2,6968.0,6430.2
2020-03-26,6429.0,6675.0,6726.5,6180.0
2020-04-02,7201.8,7367.0,7420.0,7151.64491202
2020-04-09,6872.9,6633.7227701,6940.6,6620.5
2020-04-16,6849.9405434,7133.0,7164.0,6826.1783037
2020-04-23,7750.6,8778.7,8918.0,7705.1
2020-04-30,9020.1,9152.47099343,9418.0,8913.56992467
2020-05-07,8811.3,9312.0,9408.0,8799.5
2020-05-14,9770.1,9502.0,9842.7,9301.0
2020-05-21,8845.5,9210.29871677,9225.0,8822.2
2020-05-28,9526.9,9676.6,9689.8,9400.0
2020-06-04,9774.0,9898.8,10012.0,9661.6
2020-06-11,9534.5,9473.4,9566.0,9260.0
2020-06-18,9635.2,9312.1,9684.1,9212.0
2020-06-25,9150.6467222,9239.9,9298.0,9109.4
2020-07-02,9267.57549347,9447.0,9497.2,9256.0
2020-07-09,9263.7914,9210.1,9280.0,9179.0
2020-07-16,9402.1,9557.7,9642.4,9305.0
2020-07-23,10931.55841463,11117.0,11355.0,10851.0
2020-07-30,11187.0,11735.81391634,11800.0,11085.0
2020-08-06,11379.0,11583.0,11613.97869844,11100.0
2020-08-13,11961.83967646,11778.0,12025.25974,11608.59604692
2020-08-20,11341.0,11471.10096,11546.0,11219.88888
2020-08-27,11942.89423579,11408.0,11975.0,11183.0
2020-09-03,10150.0,10240.0,10359.0,10010.0
2020-09-10,10797.99361605,10971.25116264,11104.97665904,10682.0
2020-09-17,10549.621726,10263.0,10555.0,10152.0
2020-09-24,10857.0,10795.0,10866.00570211,10684.0
2020-10-01,10613.0,10687.0,10691.0,10563.0
2020-10-08,11442.72553612,11440.0,11564.0,11309.0
2020-10-15,11924.12565284,12810.0,13220.0,11910.0
2020-10-22,13626.0,13267.0,13839.0,12915.0
2020-10-29,14029.5896356,14149.0,14245.0,13530.0
2020-11-05,15311.53062117,15709.3042176,15981.0,15292.0
2020-11-12,17674.53552004,17774.0,18450.0,17119.0
2020-11-19,19133.654712,18727.0,19497.0,18500.0
2020-11-26,18818.027865,19241.0,19344.0,18361.0
2020-12-03,18329.0,18558.0,18630.0,17742.0
2020-12-10,19459.0,21318.0,21444.0,19317.800536
2020-12-17,23804.0,23208.0,24144.0,22655.0
2020-12-24,27312.0,28880.0,28977.0,27312.0
2020-12-31,33978.0,36760.0,36932.0,33335.0
2021-01-07,34104.0,37358.07975004,37776.0,32436.0
2021-01-14,35888.0,35516.0,36422.0,33303.0
2021-01-21,32518.32570147,30421.23654981,32596.0,29283.0
2021-01-28,35576.0,37667.0,37677.35566244,35471.0
2021-02-04,46485.10574522,44841.0,47383.0,43777.0
2021-02-11,49182.0,52116.0,52577.0,49000.0
2021-02-18,48882.0,49716.0,51354.46137096,46902.0
2021-02-25,48511.0,50408.0,52567.0,48183.35073552
2021-03-04,54955.30786704,55985.0,57444.0,53155.0
2021-03-11,56923.0,58849.0,59128.0,54001.0
2021-03-18,54347.0,52328.0,57212.0,51522.0
2021-03-25,58837.0,58796.0,59899.0,56826.0
2021-04-01,57994.0,55962.0,58639.0,55555.0
